Pattern,Topology,Offset,Rank_A,Coord_A,Rank_B,Coord_B,Hop_Count
Pattern,Ranks,Pairs,Avg_Hop_Count
"AllPingPong Neighbor1 (offset (-1, -1, -1))",16,3,5.0
"AllPingPong Neighbor2 (offset (-1, -1, 0))",16,4,4.0
"AllPingPong Neighbor3 (offset (-1, -1, 1))",16,3,5.0
"AllPingPong Neighbor4 (offset (-1, 0, -1))",16,6,4.0
"AllPingPong Neighbor5 (offset (-1, 0, 0))",16,8,3.0
"AllPingPong Neighbor6 (offset (-1, 0, 1))",16,6,4.0
"AllPingPong Neighbor7 (offset (-1, 1, -1))",16,3,5.0
"AllPingPong Neighbor8 (offset (-1, 1, 0))",16,4,4.0
"AllPingPong Neighbor9 (offset (-1, 1, 1))",16,3,5.0
"AllPingPong Neighbor10 (offset (0, -1, -1))",16,6,4.0
"AllPingPong Neighbor11 (offset (0, -1, 0))",16,8,3.0
"AllPingPong Neighbor12 (offset (0, -1, 1))",16,6,4.0
"AllPingPong Neighbor13 (offset (0, 0, -1))",16,12,3.0
"AllPingPong Neighbor14 (offset (0, 0, 1))",16,12,3.0
"AllPingPong Neighbor15 (offset (0, 1, -1))",16,6,4.0
"AllPingPong Neighbor16 (offset (0, 1, 0))",16,8,3.0
"AllPingPong Neighbor17 (offset (0, 1, 1))",16,6,4.0
"AllPingPong Neighbor18 (offset (1, -1, -1))",16,3,5.0
"AllPingPong Neighbor19 (offset (1, -1, 0))",16,4,4.0
"AllPingPong Neighbor20 (offset (1, -1, 1))",16,3,5.0
"AllPingPong Neighbor21 (offset (1, 0, -1))",16,6,4.0
"AllPingPong Neighbor22 (offset (1, 0, 0))",16,8,3.0
"AllPingPong Neighbor23 (offset (1, 0, 1))",16,6,4.0
"AllPingPong Neighbor24 (offset (1, 1, -1))",16,3,5.0
"AllPingPong Neighbor25 (offset (1, 1, 0))",16,4,4.0
"AllPingPong Neighbor26 (offset (1, 1, 1))",16,3,5.0
Allreduce,16,-,4.4
Barrier,16,-,15.125
